Time,Open,High,Low,Last,Change,%Chg,Volume
01/03/2012,75.69,75.87,74.77,74.98,1.23,+1.67%,60508700
01/04/2012,74.58,74.86,74.07,74.56,-0.42,-0.56%,34653100
01/05/2012,74.04,75.34,73.37,74.98,0.42,+0.56%,57274900
01/06/2012,75.03,75.38,74.27,74.8,-0.18,-0.24%,45500600
01/09/2012,75.14,75.3,74.41,75.17,0.37,+0.49%,52045100
01/10/2012,76.16,76.43,75.96,76.27,1.1,+1.46%,42977500
01/11/2012,75.96,76.67,75.87,76.57,0.3,+0.39%,33452200
01/12/2012,76.78,76.92,75.94,76.8,0.23,+0.30%,36132200
01/13/2012,76.19,76.48,75.6,76.39,-0.41,-0.53%,42602800
01/17/2012,77.11,77.27,76.13,76.36,-0.03,-0.04%,34521300
01/18/2012,76.32,77.73,76.15,77.72,1.36,+1.78%,49330700
01/19/2012,78.13,78.36,77.66,78.2,0.48,+0.62%,35832400
01/20/2012,78.11,78.51,77.9,78.25,0.05,+0.06%,42225300
01/23/2012,78.24,78.84,77.55,78.15,-0.1,-0.13%,37482300
01/24/2012,77.68,78.75,77.27,78.6,0.45,+0.58%,49860300
01/25/2012,78.6,79.57,78.19,79.27,0.67,+0.85%,68272800
01/26/2012,79.86,79.91,78.75,79.18,-0.09,-0.11%,52758600
01/27/2012,78.81,79.78,78.77,79.72,0.54,+0.68%,52205300
01/30/2012,79.1,79.43,78.52,79.1,-0.62,-0.78%,46332300
01/31/2012,79.65,79.82,78.58,79.02,-0.08,-0.10%,52026600
02/01/2012,79.76,80.9,79.47,80.72,1.7,+2.15%,67292096
02/02/2012,81.04,81.53,80.74,81.18,0.46,+0.57%,46407000
02/03/2012,82.5,83.22,82.24,82.95,1.77,+2.18%,72740896
02/06/2012,82.56,82.93,82.37,82.68,-0.27,-0.33%,34520100
02/07/2012,82.62,82.99,82.08,82.63,-0.05,-0.06%,41623600
02/08/2012,82.8,83.21,81.93,82.81,0.18,+0.22%,28439800
02/09/2012,83.02,83.03,81.84,82.4,-0.41,-0.50%,48716700
02/10/2012,81.5,81.67,81.08,81.27,-1.13,-1.37%,24823200
02/13/2012,82.18,82.43,81.61,82.32,1.05,+1.29%,38574000
