Time,Open,High,Low,Last,Change,%Chg,Volume,1day %chg,2day %chg,3day %chg,4day %chg,5day %chg,9day %chg,13day %chg,20day %chg,% of 1day range,% of 2day range,% of 3day range,% of 4day range,% of 5day range,% of 9day range,% of 13day range,% of 20day range,1day high %above,2day high %above,3day high %above,4day high %above,5day high %above,9day high %above,13day high %above,20day high %above,1day low %above,2day low %above,3day low %above,4day low %above,5day low %above,9day low %above,13day low %above,20day low %above,1ma %above,2ma %above,3ma %above,4ma %above,5ma %above,9ma %above,13ma %above,20ma %above,49ma %above,1vwap %above,2vwap %above,3vwap %above,4vwap %above,5vwap %above,9vwap %above,13vwap %above,20vwap %above,49vwap %above
03/14/2012,82.99,83.23,82.01,82.38,-0.68,-0.82%,46708500,-0.08428,1.90324,1.70343,3.08036,4.41621,1.86572,0.42352,1.26907,88.16568,90.19608,92.39544,94.65241,95.35963,95.7265,95.7265,86.93878,-0.12035,-0.12035,-0.12035,-0.12035,-0.12035,-0.12035,-0.12035,-0.38411,1.95332,2.39358,3.14442,4.58727,5.344,5.84109,5.84109,5.84109,0.57362,1.21349,1.45752,1.96062,2.49475,2.8608,2.24931,1.81365,4.00308,0.57362,1.03156,1.38984,1.84387,2.46436,2.91874,2.37491,1.9553,3.94028
03/15/2012,82.26,83.12,82.03,83.07,0.69,+0.84%,58742400,-0.14567,-0.96316,1.00688,0.80882,2.17364,2.50467,-0.29091,1.21816,-59.01639,-6.01093,11.00917,29.9639,50.0,59.75104,59.75104,57.14286,-1.16545,-1.16545,-1.16545,-1.16545,-1.16545,-1.16545,-1.16545,-1.26035,0.30484,1.05651,1.49291,2.23714,3.6673,4.91009,4.91009,4.91009,-0.33923,-0.32514,0.10141,0.33747,0.78001,1.84288,1.36656,0.8729,2.89526,-0.33923,-0.32327,-0.01646,0.30435,0.70212,1.98147,1.46262,1.0198,2.80576
03/16/2012,83.21,83.27,82.65,83,-0.07,-0.08%,42046000,0.16853,1.00753,0.18059,2.17338,1.97304,3.57232,1.13029,0.49517,116.51376,96.72131,97.81421,98.16514,98.55596,99.17012,99.17012,95.91837,0.10828,-0.02403,-0.02403,-0.02403,-0.02403,-0.02403,-0.02403,-0.12003,1.4385,1.46324,2.22359,2.66502,3.41785,6.12167,6.12167,6.12167,0.56804,0.68974,0.73985,1.08422,1.30923,2.71337,2.48799,1.9645,3.865,0.56804,0.67584,0.73602,0.97053,1.26076,2.82485,2.56982,2.10467,3.80321
03/19/2012,82.89,84.39,82.75,83.7,0.7,+0.84%,66828500,-0.13253,-0.21668,0.61908,-0.20467,1.78045,5.27051,2.2702,0.12079,-22.58065,38.70968,39.68254,59.35829,65.76577,84.36214,84.36214,82.85714,-0.45635,-0.45635,-0.45635,-0.45635,-0.45635,-0.45635,-0.45635,-0.50414,0.29038,1.0484,1.07304,1.83047,2.2702,5.71356,5.71356,5.71356,-0.10043,0.04023,0.16784,0.23884,0.53528,1.91022,2.03778,1.53215,3.24438,-0.10043,0.06357,0.17744,0.25774,0.46324,2.10554,2.14584,1.69877,3.16726
03/20/2012,83.11,83.29,82.58,82.95,-0.75,-0.90%,28393000,-0.7049,0.13253,0.04815,0.88614,0.0602,4.56719,2.01301,1.07017,-56.09756,-47.12644,-8.47458,-7.56303,14.38127,54.3672,57.19064,57.19064,-1.51677,-1.51677,-1.51677,-1.51677,-1.51677,-1.51677,-1.51677,-1.51677,0.43505,0.55656,1.31659,1.3413,2.10074,5.49632,5.99413,5.99413,-0.60198,-0.22011,0.00134,0.17276,0.28154,1.53021,2.11972,1.75779,3.28745,-0.60198,-0.30729,-0.04417,0.11504,0.24823,1.46351,2.19179,1.85926,3.19031
03/21/2012,83.17,83.43,82.64,82.93,-0.02,-0.02%,40504600,0.26522,-0.63321,0.20482,0.12038,0.95897,3.30394,3.63863,1.94901,66.19718,-34.80663,-34.80663,-3.38983,-2.52101,51.5873,59.19732,59.19732,-0.14407,-1.44567,-1.44567,-1.44567,-1.44567,-1.44567,-1.44567,-1.44567,0.71446,0.71446,0.71446,1.38974,1.41446,4.81411,6.07065,6.07065,0.27731,-0.12809,-0.00668,0.1244,0.25152,1.10033,2.07702,1.79553,3.15324,0.27731,-0.2908,-0.12971,0.06403,0.19783,1.03351,2.23386,1.92412,3.07226
03/22/2012,82.09,82.46,81.62,82.13,-0.8,-0.96%,60103800,-1.0129,-1.03677,-1.92354,-1.09639,-1.17973,0.60049,2.17824,-0.85749,-239.24051,-215.29412,-154.14365,-154.14365,-94.91525,-17.04835,23.07692,23.07692,-1.60614,-1.60614,-2.72544,-2.72544,-2.72544,-2.72544,-2.72544,-2.72544,-0.66554,-0.59336,-0.59336,-0.59336,0.07314,2.02585,4.69328,4.69328,-1.09639,-1.06062,-1.31568,-1.25303,-1.1599,-0.59069,0.52152,0.40076,1.63932,-1.09639,-1.06691,-1.44009,-1.35154,-1.21158,-0.61102,0.68028,0.54529,1.58276
03/23/2012,82.01,82.79,81.25,82.68,0.55,+0.67%,27878600,-0.14611,-1.10937,-1.13321,-2.01912,-1.19277,0.6999,4.15291,-0.76234,-7.14286,-56.90608,-56.90608,-71.84116,-71.84116,-42.51497,20.40134,20.40134,-0.54572,-1.70203,-1.70203,-2.82024,-2.82024,-2.82024,-2.82024,-2.82024,0.47782,0.47782,0.47782,0.47782,0.47782,1.18445,4.59125,4.59125,-0.07311,-0.63609,-0.79835,-1.08054,-1.09665,-0.77657,0.23316,0.31722,1.39423,-0.07311,-0.52692,-0.65835,-1.09168,-1.10395,-0.82206,0.40548,0.45822,1.36693
03/26/2012,83.74,84.46,83.62,84.4,1.72,+2.08%,56453900,1.28205,1.96031,0.97673,0.95238,0.04779,0.81869,5.35984,1.50303,223.37662,223.37662,128.44037,128.44037,58.59873,58.59873,76.82709,78.26087,1.14748,1.14748,0.37157,0.37157,-0.77023,-0.77023,-0.77023,-0.77023,3.06462,3.06462,3.06462,3.06462,3.06462,3.06462,6.29601,6.7976,1.82393,1.92928,1.58101,1.42619,1.16866,1.21223,2.02943,2.46308,3.3848,1.82393,1.96792,1.62614,1.50576,1.09738,1.1882,2.05038,2.60551,3.40168
03/27/2012,84.42,84.66,83.75,83.81,-0.59,-0.70%,41730600,0.0237,2.1045,2.78826,1.7967,1.77215,2.47633,4.85654,2.60088,90.47619,97.50779,97.50779,97.50779,97.50779,97.50779,98.43444,98.67769,-0.04736,-0.04736,-0.04736,-0.04736,-0.04736,-0.04736,-0.04736,-0.04736,0.95671,3.90154,3.90154,3.90154,3.90154,3.90154,6.38941,7.66484,0.30894,1.46635,1.9278,1.87347,1.85565,1.80943,2.38901,3.1735,4.01458,0.30894,1.07119,1.80934,1.78775,1.78731,1.74006,2.32574,3.30573,4.03641
