Time,Open,High,Low,Last,Change,Volume
"03/20/17 16:00",2.13,2.13,2.13,2.13,0,3347
"03/20/17 15:55",2.13,2.13,2.12,2.13,0,8873
"03/20/17 15:50",2.13,2.13,2.11,2.13,0.0099,27073
"03/20/17 15:45",2.121,2.13,2.12,2.1201,-0.0099,7400
"03/20/17 15:40",2.12,2.13,2.09,2.13,0,7671
"03/20/17 15:35",2.13,2.13,2.1225,2.13,0.0049999999999999,3700
"03/20/17 15:30",2.13,2.13,2.125,2.125,-0.0049999999999999,3015
"03/20/17 15:25",2.13,2.14,2.1101,2.13,0,2367
"03/20/17 15:20",2.11,2.14,2.11,2.13,0.035,6600
"03/20/17 15:15",2.0958,2.1,2.08,2.095,0,1650
"03/20/17 15:10",2.0801,2.095,2.0801,2.095,-0.015,200
"03/20/17 15:05",2.09,2.11,2.07,2.11,0.0399,5600
"03/20/17 15:00",2.07,2.09,2.07,2.0701,0.00010000000000021,1000
"03/20/17 14:55",2.04,2.07,2.0101,2.07,0.03,6300
"03/20/17 14:50",2.158,2.16,2,2.04,-0.11,86336
"03/20/17 14:45",2.17,2.17,2.15,2.15,-0.01,3350
"03/20/17 14:40",2.165,2.17,2.15,2.16,0,4500
"03/20/17 14:35",2.1601,2.17,2.16,2.16,-0.0049999999999999,900
"03/20/17 14:30",2.19,2.19,2.16,2.165,-0.0099999999999998,1800
"03/20/17 14:25",2.19,2.19,2.16,2.175,0.015,700
"03/20/17 14:20",2.18,2.19,2.16,2.16,-0.0099999999999998,2900
"03/20/17 14:15",2.21,2.21,2.17,2.17,-0.035,1850
"03/20/17 14:10",2.2,2.205,2.2,2.205,-0.0049999999999999,900
"03/20/17 14:05",2.21,2.21,2.205,2.21,0.0099999999999998,300
"03/20/17 14:00",2.23,2.23,2.2,2.2,-0.03,799
"03/20/17 13:55",2.23,2.23,2.215,2.23,0.03,500
"03/20/17 13:50",2.22,2.22,2.2,2.2,-0.03,800
"03/20/17 13:45",2.23,2.24,2.21,2.23,0,7106
"03/20/17 13:40",2.23,2.24,2.23,2.23,-0.01,700
"03/20/17 13:35",2.2341,2.24,2.23,2.24,0,2000
"03/20/17 13:25",2.235,2.24,2.235,2.24,0.01,300
"03/20/17 13:20",2.23,2.23,2.23,2.23,0,100
"03/20/17 13:15",2.23,2.23,2.23,2.23,-0.01,200
"03/20/17 13:10",2.235,2.24,2.235,2.24,0.01,300
"03/20/17 13:05",2.23,2.23,2.23,2.23,0,100
"03/20/17 13:00",2.23,2.23,2.23,2.23,-0.0097999999999998,100
"03/20/17 12:55",2.24,2.25,2.2398,2.2398,-0.0102,600
"03/20/17 12:50",2.23,2.25,2.23,2.25,0.0099999999999998,700
"03/20/17 12:45",2.24,2.25,2.24,2.24,-0.0098999999999996,400
"03/20/17 12:40",2.24,2.25,2.24,2.2499,0.0199,1400
"03/20/17 12:35",2.23,2.23,2.23,2.23,-0.0049999999999999,100
"03/20/17 12:30",2.22,2.25,2.2,2.235,0.025,1750
