"('8/7/2020', 'CALL', '169')","[(714, '2.97'), (714, '2.97'), (714, '2.97'), (714, '2.96'), (714, '2.97'), (714, '2.97'), (714, '2.96'), (714, '2.96'), (714, '2.96'), (715, '3.05'), (723, '8.66')]"
"('7/24/2020', 'PUT', '166.5')","[(714, '0.43'), (714, '0.4'), (716, '0.42'), (716, '0.42'), (716, '0.3'), (717, '0.24'), (722, '0.03'), (722, '0.03'), (722, '0.03'), (723, '0.03'), (724, '0.01')]"
"('8/21/2020', 'CALL', '168')","[(716, '3.3'), (716, '3.3'), (716, '3.37'), (716, '3.37'), (716, '3.37'), (716, '3.4'), (717, '3.94'), (717, '3.93'), (721, '5.93'), (721, '5.45'), (722, '8.3')]"
"('9/18/2020', 'CALL', '250')","[(716, '0.03'), (716, '0.03'), (716, '0.03'), (717, '0.03'), (717, '0.03'), (720, '0.03'), (721, '0.04'), (722, '0.06'), (727, '0.23'), (727, '0.23'), (727, '0.22')]"
"('9/18/2020', 'PUT', '170')","[(717, '3.97'), (717, '3.85'), (721, '2.91'), (722, '2.52'), (724, '1.86'), (727, '1.59'), (727, '1.53'), (727, '1.52'), (727, '1.52'), (727, '1.53'), (727, '1.51')]"
"('7/24/2020', 'PUT', '171.5')","[(721, '0.48'), (721, '0.41'), (721, '0.47'), (721, '0.54'), (721, '0.54'), (721, '0.47'), (721, '0.59'), (722, '0.19'), (722, '0.22'), (722, '0.17'), (723, '0.04')]"
"('9/18/2020', 'CALL', '187')","[(721, '1.01'), (722, '1.25'), (727, '4.46'), (727, '4.5'), (727, '4.5'), (727, '4.5'), (727, '4.5'), (727, '4.5'), (727, '4.5'), (727, '4.5'), (727, '4.45')]"
"('7/31/2020', 'CALL', '176.5')","[(721, '0.65'), (721, '0.61'), (723, '2.76'), (723, '3.43'), (723, '2.42'), (723, '2.35'), (724, '3.45'), (724, '3.44'), (724, '3.5'), (724, '3.65'), (727, '6.13')]"
"('9/30/2020', 'CALL', '178')","[(721, '2.85'), (721, '2.85'), (721, '2.6'), (721, '2.6'), (727, '8.95'), (727, '8.95'), (727, '8.95'), (727, '8.85'), (727, '9.05'), (727, '8.94'), (727, '9')]"
"('8/7/2020', 'PUT', '168')","[(722, '0.6'), (723, '0.35'), (723, '0.35'), (723, '0.46'), (724, '0.27'), (724, '0.27'), (724, '0.28'), (724, '0.28'), (724, '0.28'), (724, '0.3'), (724, '0.31')]"
"('9/18/2020', 'CALL', '189')","[(722, '1.23'), (722, '1.23'), (722, '1.23'), (722, '1.23'), (723, '2.11'), (723, '2.12'), (723, '2.1'), (723, '2.08'), (727, '4.15'), (727, '4.15'), (727, '4.15')]"
