Time,Open,High,Low,Last,Change,Volume
"12/20/18 16:00",0.5701,0.5701,0.5701,0.5701,-0.0299,834
"12/20/18 15:55",0.58,0.6,0.58,0.6,0.0278,24696
"12/20/18 15:50",0.5799,0.595,0.57,0.5722,-0.0075999999999999,16537
"12/20/18 15:45",0.577,0.5799,0.5701,0.5798,0.0011,7735
"12/20/18 15:40",0.5708,0.5787,0.57,0.5787,0.00060000000000004,2490
"12/20/18 15:35",0.6,0.6,0.578,0.5781,-0.0083000000000001,9038
"12/20/18 15:30",0.5996,0.6201,0.5864,0.5864,-0.0104,18239
"12/20/18 15:20",0.5968,0.5968,0.5968,0.5968,0.0068,3000
"12/20/18 15:15",0.6101,0.6175,0.59,0.59,-0.00030000000000008,16653
"12/20/18 15:10",0.5903,0.5903,0.5903,0.5903,-0.04,100
"12/20/18 15:00",0.6206,0.6303,0.5901,0.6303,0.0049,10898
"12/20/18 14:50",0.6206,0.6254,0.6206,0.6254,-0.0033000000000001,900
"12/20/18 14:45",0.6253,0.6287,0.6205,0.6287,-0.00049999999999994,1200
"12/20/18 14:40",0.63,0.63,0.6292,0.6292,0.0039,400
"12/20/18 14:30",0.6202,0.6302,0.6202,0.6253,-0.0029,3076
"12/20/18 14:25",0.6282,0.6282,0.6282,0.6282,-0.00050000000000006,3594
"12/20/18 14:20",0.6287,0.6287,0.6287,0.6287,0,200
"12/20/18 14:15",0.6287,0.6287,0.6287,0.6287,0,1000
"12/20/18 14:10",0.6303,0.6304,0.6287,0.6287,-0.0111,7800
"12/20/18 14:05",0.6301,0.6399,0.6301,0.6398,0.0066000000000001,3350
"12/20/18 14:00",0.6332,0.6332,0.6332,0.6332,-0.0268,1000
"12/20/18 13:55",0.64,0.66,0.6198,0.66,0.0402,25123
"12/20/18 13:50",0.6202,0.6202,0.6197,0.6198,-0.00039999999999996,950
"12/20/18 13:45",0.6202,0.6202,0.6202,0.6202,-0.0197,1000
"12/20/18 13:40",0.625,0.6399,0.625,0.6399,0.03,780
"12/20/18 13:35",0.5903,0.6107,0.5901,0.6099,0.0195,3894
"12/20/18 13:30",0.61,0.61,0.5904,0.5904,-0.0295,4800
"12/20/18 13:25",0.6155,0.6199,0.61,0.6199,0.0112,3320
"12/20/18 13:20",0.6087,0.6087,0.6087,0.6087,0.0335,100
"12/20/18 13:15",0.5752,0.5752,0.5752,0.5752,0.00020000000000009,10000
"12/20/18 13:10",0.6022,0.6022,0.5612,0.575,0.0139,3600
"12/20/18 13:05",0.6214,0.6304,0.5611,0.5611,-0.0689,21549
"12/20/18 13:00",0.6391,0.6391,0.63,0.63,-0.02,10674
"12/20/18 12:55",0.661,0.6621,0.6301,0.65,-0.0108,13790
"12/20/18 12:50",0.6649,0.6899,0.6607,0.6608,-0.0292,18512
"12/20/18 12:45",0.6499,0.69,0.6499,0.69,0.0499,23108
